Convoluted_Layers,Convoluted_Filters,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
22,1,43,23,0.009426750732537851,75,0.2640385329723358
17,1,44,22,0.0004510676558079413,80,0.3410605788230896
26,3,38,23,0.007213331368567313,85,0.039238471537828445
31,3,64,28,0.008182027868894593,48,0.04677041247487068
16,2,41,20,0.000671606820151265,74,0.07074276357889175
29,1,40,28,0.0025267074668367806,32,0.20090991258621216
23,3,62,27,0.002068805053998209,96,0.03044111095368862
28,2,51,16,0.0018326068516823096,38,0.0325925350189209
30,1,49,32,0.0007353857180992771,94,0.2786382734775543
29,3,38,30,0.007043497268664699,57,0.04549381881952286
30,2,41,28,0.0041597767313779396,120,0.035154588520526886
21,2,57,17,0.0003719539385913457,47,0.059095390141010284
29,3,61,20,0.001326329012916087,117,0.031837526708841324
16,2,64,18,0.004114970172940865,106,0.031951457262039185
17,3,43,18,0.0003983914426495977,116,0.08595170825719833
25,2,34,16,0.0010236407758147917,44,0.047823868691921234
17,3,47,17,0.008841071274933662,125,0.04195614159107208
26,2,37,26,0.007488279304031969,123,0.04084941744804382
16,3,60,19,0.007597356319862852,68,0.04235603287816048
26,2,41,20,0.005181312883933888,69,0.03629862144589424
21,1,32,16,0.008604881383561584,111,0.24602676928043365
30,2,64,28,0.008327948876445763,82,0.03757762163877487
23,3,39,24,0.008481497693444136,44,0.055361926555633545
17,1,40,27,0.006616255509962863,99,0.25042223930358887
26,1,64,19,0.007160715299518224,34,0.24947255849838257
30,1,60,21,0.0017527792367892944,80,0.2447786182165146
29,3,59,24,0.0030535081964092586,59,0.028012912720441818
24,1,60,31,0.009043130561378683,32,0.33515146374702454
24,2,33,18,0.006221718426992638,38,0.05290509760379791
20,3,48,28,0.008283704199611903,125,0.03677712008357048
20,3,32,23,0.0007050567640664918,91,0.05508894845843315
16,3,42,16,0.0015707752138900911,76,0.03919346258044243
26,1,35,20,0.007711548802568955,87,0.23115430772304535
28,2,45,18,0.004624262950022026,120,0.035260602831840515
16,3,57,31,0.006558595946738614,90,0.04176006838679314
16,1,62,16,0.005417845998316459,87,0.253716379404068
19,1,43,27,0.002755480911223094,91,0.24976269900798798
27,2,47,29,0.008782158706805725,65,0.047717053443193436
26,2,39,17,0.009028058264900907,37,0.058086097240448
29,3,45,23,0.009285399905960917,126,0.03970494866371155
17,2,46,32,0.007336486003396417,96,0.041933029890060425
24,1,53,16,0.004003559749454014,83,0.24782754480838776
18,2,36,18,0.001379858060027558,40,0.04674423113465309
23,2,59,23,0.00901788864503167,55,0.05328779295086861
20,2,55,22,0.006787616205085525,71,0.04343161731958389
18,1,41,22,0.0031763057646346468,123,0.21275973320007324
16,1,54,23,0.004030000141868713,117,0.34263747930526733
32,1,62,30,0.008923020352954591,49,0.2585051357746124
19,3,61,27,0.0015886851722582845,73,0.03591759875416756
20,3,62,26,0.006248176586899296,121,0.03206325322389603
30,3,48,23,0.0010652522284844903,124,0.03978336229920387
16,3,40,30,0.00039651212822066045,122,0.0727614089846611
30,2,35,21,0.006259023426877825,78,0.040831536054611206
27,3,34,21,0.009739954492120853,69,0.05462416261434555
21,2,35,27,0.008167973262496466,83,0.04782608896493912
17,1,56,20,0.007716954796954011,70,0.24786971509456635
24,1,36,27,0.006511731459124017,43,0.23539131879806519
18,2,45,20,0.009131234874313563,48,0.058846231549978256
30,3,32,18,0.006412076394848317,100,0.0372471921145916
24,2,53,23,0.008986927459818229,60,0.05075288936495781
32,3,37,18,0.002578569117251037,32,0.029578914865851402
29,3,59,28,0.00892112452494112,111,0.039803218096494675
28,1,61,19,0.008322473213757614,119,0.3184412121772766
19,1,47,22,0.004602466610064618,102,0.2528993487358093
27,2,58,29,0.001603983638829367,68,0.030247293412685394
18,2,47,28,0.0055378474107939555,80,0.03751718997955322
19,1,58,19,0.006830170454365703,85,0.24944467842578888
18,3,35,30,0.003480579293216726,38,0.037661101669073105
23,2,32,30,0.00876642873774999,128,0.04363385587930679
24,1,46,28,0.004009184375941281,99,0.205349862575531
17,3,56,16,0.00441906457191187,71,0.03326759859919548
24,1,63,26,0.00853506268715452,52,0.3135504126548767
32,1,58,27,0.0015838186643516684,90,0.24340301752090454
18,3,55,18,0.009765057800551766,95,0.04515279456973076
18,3,52,29,0.007440364229874027,54,0.05119689926505089
23,3,44,20,0.0017825417001527026,40,0.0301774013787508
16,3,42,17,0.005934918504161885,117,0.03897755965590477
30,1,55,16,0.004633711342212191,47,0.1951875388622284
31,3,55,30,0.006299419521504188,72,0.03629819676280022
17,1,46,24,0.004117077209306663,34,0.21124781668186188
18,3,53,21,0.00900083823674933,64,0.04903196543455124
18,2,51,20,0.009025869031289279,117,0.043842751532793045
31,3,50,16,0.0019686792187841528,100,0.028607575222849846
31,1,38,26,0.0020479090211449713,82,0.22074492275714874
27,1,59,27,0.0007151945077464465,94,0.2865251302719116
24,1,35,17,0.00678276385021465,118,0.23688171803951263
22,2,58,32,0.0006503355802800392,89,0.050417978316545486
32,2,51,32,0.0005184736801743721,109,0.0611744225025177
22,1,41,30,0.008116664674210863,50,0.22547279298305511
23,1,36,17,0.0049258403742280755,115,0.22099344432353973
26,1,47,17,0.003778611602579275,53,0.20084184408187866
31,2,52,32,0.006273379623216158,69,0.03863292559981346
28,3,63,20,0.0036962842271923064,41,0.03221626952290535
17,2,53,31,0.007641600135640997,78,0.042711805552244186
16,2,64,27,0.008139254328300403,99,0.04152286425232887
25,3,46,19,0.007419567936074693,126,0.03345726430416107
16,2,44,31,0.005197634400965863,67,0.043469544500112534
25,1,61,19,0.008226713298385589,39,0.2597205638885498
31,1,51,23,0.0034860871375794636,50,0.24074584245681763
30,2,47,29,0.00953396649421793,101,0.04493458569049835
26,1,59,26,0.00921017943628217,51,0.2649538516998291
22,1,45,17,0.00398409177158321,51,0.2184843271970749
29,3,56,25,0.004186628388597228,54,0.03148414194583893
22,1,62,26,0.0077558090809760494,107,0.25586092472076416
18,2,52,23,0.005124405002611321,39,0.046615760773420334
24,2,40,20,0.008246570665424797,121,0.0396493598818779
23,3,40,17,0.006818364370871795,112,0.03529464453458786
