Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
242,109,0.0006589744411395113,108,0.06489545851945877
210,121,0.00045492390367203096,79,0.07470165193080902
115,227,0.0041431801485335255,44,0.07597722858190536
80,83,0.00712076529613023,66,0.09671628475189209
116,82,0.008256512910017803,66,0.09450596570968628
71,235,0.004460171759983387,80,0.05873331055045128
124,178,0.004716750900264571,69,0.058882858604192734
80,219,0.006613451710121345,101,0.06991804391145706
146,83,0.009418782160624896,124,0.06739850342273712
176,226,0.009072160401366698,116,0.0788666233420372
124,117,0.009266231252199674,56,0.13335280120372772
233,160,0.00565874273455055,97,0.053924839943647385
34,39,0.006844268670751724,42,0.1356339305639267
92,161,0.008791921624268055,60,0.12884476780891418
69,245,0.0005138238055028271,48,0.0910118818283081
127,57,0.0015669567983961758,124,0.05475207418203354
130,66,0.005575855840717623,88,0.05581718683242798
35,48,0.0006062222225328896,102,0.16644400358200073
92,167,0.006002180702933656,44,0.10866814106702805
212,81,0.005918797726150777,100,0.05198601633310318
128,83,0.007116951453308634,59,0.10136193037033081
212,102,0.0005126290916827534,60,0.06479977071285248
254,224,0.0008723358006526158,120,0.0461687371134758
79,202,0.002996374412969052,127,0.05017347261309624
206,221,0.005478764742536711,60,0.06589607894420624
89,226,0.0012004223661594724,52,0.05421648919582367
34,87,0.005794589055808737,59,0.10343184322118759
82,74,0.008301847447314584,116,0.07503697276115417
65,190,0.008415212211294164,32,0.19048954546451569
251,129,0.008889393691642636,124,0.06547093391418457
177,236,0.0037586121655708016,87,0.04325525835156441
135,185,0.007034835839509931,128,0.05606171861290932
153,228,0.0012368619486319036,74,0.043753039091825485
230,113,0.004893976001433797,128,0.04075666144490242
73,221,0.0008035603387832616,126,0.09574326127767563
144,39,0.007738976857260834,64,0.08844930678606033
254,51,0.0018366594672619733,122,0.03747894614934921
158,228,0.004654009754204251,70,0.06074564531445503
200,206,0.0047515360211867735,48,0.0739893689751625
135,137,0.005679176963812734,78,0.058699313551187515
166,227,0.0070415561796674945,70,0.08141278475522995
172,138,0.005557118495455475,124,0.04669224098324776
44,135,0.004123320113861176,110,0.06613627076148987
89,66,0.0044317121145416105,104,0.05451641604304314
122,32,0.0016652491351407941,125,0.06002886965870857
90,193,0.008662992625687772,41,0.1538996547460556
144,108,0.004515439243309866,93,0.0480920672416687
113,197,0.00408667526064044,95,0.04816068336367607
201,99,0.007531053621751675,124,0.0590861439704895
127,62,0.004478977671351337,39,0.09066580981016159
160,109,0.0046110985273400355,109,0.047526177018880844
194,98,0.00530411545943653,118,0.04479236528277397
138,146,0.008879887424674713,66,0.11152119189500809
230,69,0.0016025899036523907,55,0.038658469915390015
234,117,0.0041756503657780965,43,0.06413804739713669
95,83,0.0009918349851078423,40,0.06581360846757889
149,247,0.0034433777367334963,128,0.040871091187000275
147,125,0.002278348004310531,77,0.04055244103074074
62,132,0.00015924082139182326,33,0.17896102368831635
