Optimizer,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
AdamW,130,228,0.00631846569895566,59,0.0704784169793129
SGD,32,186,0.0014961538589000518,115,2.1667640209198
Adafactor,196,69,0.0063593322846026284,46,0.058109100908041
Adam,197,138,0.008121511975126549,33,0.09499412775039673
SGD,131,136,0.009331368216739121,59,0.3280457556247711
Ftrl,82,214,0.0059123855110623305,86,2.30122447013855
Adafactor,232,164,0.002276153626697382,42,nan
Ftrl,35,109,0.006379870057359919,82,2.3012142181396484
Adafactor,62,68,0.005530915655111031,125,0.15271279215812683
SGD,153,150,0.007921510544694655,41,0.3017577528953552
RMSprop,171,74,0.0071551395603154586,79,0.07287243008613586
Adafactor,45,85,0.003910138704329134,117,0.1917378306388855
Adadelta,106,36,0.004603862488313224,52,1.4839576482772827
Adafactor,125,83,0.005416168751339652,46,0.08055760711431503
Adam,203,169,0.0089646157454466,52,0.08822134882211685
Adamax,201,239,0.0002681344448709998,56,0.1872512251138687
Adamax,163,168,0.0029979879001580416,62,0.048283640295267105
Nadam,62,180,0.0006735225051547689,39,0.07242778688669205
Ftrl,168,46,0.004238205358502479,103,2.3013112545013428
Ftrl,63,148,0.00022496759172173776,59,2.3024110794067383
Adadelta,223,194,0.009369337030660526,41,0.45462241768836975
SGD,180,232,0.008092427368465233,62,0.3435126841068268
Adagrad,174,69,0.006552205825907372,94,0.31023797392845154
Adafactor,40,56,0.0016805725004966504,119,0.2848484516143799
Nadam,161,127,0.0008422133032150267,53,0.04362429678440094
AdamW,223,87,0.002360824223402932,39,0.03932301700115204
Adafactor,94,165,0.008035136108908833,35,nan
Adamax,36,42,0.0015893530662544825,122,0.19355003535747528
Adafactor,197,213,0.004580357271025286,63,nan
Adam,111,211,0.008235712698953427,114,0.06717342883348465
AdamW,240,246,0.008180408491693714,53,0.08810403198003769
AdamW,142,148,0.005804931160068541,89,0.054933931678533554
Adagrad,220,151,0.005893663480640919,70,0.2786261737346649
SGD,100,113,0.007035523650098924,72,0.39417460560798645
Nadam,225,145,0.006289644386508367,102,0.047961071133613586
RMSprop,79,111,0.0015362840698944953,63,0.06026971712708473
Adamax,74,212,0.003644320597886379,37,0.05910293385386467
SGD,44,82,0.005916448398418175,110,0.633150041103363
Adagrad,239,78,0.0030375846571143784,108,0.42260903120040894
Ftrl,248,124,0.00542308665619283,83,2.3012404441833496
Ftrl,97,170,0.003013042661895317,50,2.3013851642608643
AdamW,219,225,0.0042890497189895125,32,0.06586816161870956
SGD,99,48,0.00021151413540228863,40,2.16162371635437
Adagrad,138,178,0.002025832848615359,56,0.41480785608291626
Nadam,198,66,0.007962606732545315,58,0.06988316774368286
Nadam,107,112,0.0029395072476749045,39,0.048806190490722656
Nadam,180,143,0.005068272876410662,113,0.043726515024900436
Adadelta,132,103,0.0035124808920240762,44,1.371123194694519
Adadelta,166,242,0.0024482797342013566,66,1.7812200784683228
Ftrl,157,162,0.0036983239752043616,34,2.3013031482696533
SGD,137,160,0.008159482161482748,40,0.30440863966941833
AdamW,59,59,0.005597959049409486,46,0.07419576495885849
Adam,149,137,0.006638628830579285,103,0.059091195464134216
AdamW,32,102,0.002103612765418504,93,0.08997438102960587
Nadam,112,74,0.009076141647283745,78,0.07265424728393555
Adafactor,252,95,0.008347854744684049,61,0.048242587596178055
Adafactor,246,138,0.002706164120588241,127,0.14949941635131836
Adafactor,47,42,0.007918035034130142,40,nan
Adam,118,92,0.004360854888115802,35,0.058165062218904495
RMSprop,247,139,0.008071437183025863,80,0.08002500981092453
Nadam,126,199,0.0002526674391310342,101,0.13493314385414124
Adamax,94,116,0.0014431140994946511,120,0.11939991265535355
RMSprop,60,56,0.0026553386700699675,39,0.07064418494701385
Adamax,232,189,0.009958435515155588,56,0.02512543834745884
Ftrl,106,188,0.0025068582791702566,125,2.301553964614868
SGD,208,68,0.006358603577572161,121,0.5325078368186951
Adam,117,154,0.007737876363942334,95,0.06516727060079575
RMSprop,45,66,0.003275701047248709,125,0.07229486852884293
RMSprop,202,121,0.0011909428366682745,33,0.042396366596221924
Adafactor,226,143,0.004756552298258928,66,nan
Adagrad,252,197,0.009625592374239626,104,0.25944268703460693
Adadelta,76,182,0.007277984071043633,80,1.1096028089523315
SGD,225,245,0.003739040537693107,49,0.4339921176433563
AdamW,111,234,0.0005840980999675312,128,0.09203137457370758
Ftrl,196,67,0.008658921922786288,57,2.3011913299560547
Adagrad,82,72,0.009607183329668428,95,0.2735181748867035
Adafactor,205,139,0.004142677006197597,43,nan
Adam,166,224,0.0026639596052147304,46,0.04374019801616669
SGD,38,56,0.008076983889747596,82,0.4417620301246643
Nadam,146,149,0.0068819810123383314,83,0.06044730544090271
Nadam,82,114,0.0047086998038793956,82,0.05441724881529808
Nadam,234,175,0.0067288945427076375,46,0.07084807008504868
Nadam,153,253,0.0026684043993547386,127,0.03681109473109245
Adagrad,149,62,0.005917101937286221,56,0.27709242701530457
Adafactor,77,248,0.0074741460839359685,88,0.09629033505916595
Ftrl,49,214,0.008132335088692546,62,2.3011910915374756
Nadam,49,182,0.00015521423022600437,89,0.23381294310092926
Ftrl,74,254,0.009744954066037884,85,2.301192045211792
SGD,65,100,0.006486729215808354,77,0.4360468089580536
Adamax,234,187,0.007184193916894643,87,0.027782978489995003
Nadam,69,54,0.007628874003512707,120,0.06386391073465347
AdamW,252,134,0.002531835639581136,92,0.035910464823246
RMSprop,205,41,0.0009007752889785296,84,0.05985452979803085
Adamax,176,244,0.0006636928396985904,52,0.11179153621196747
Ftrl,98,240,0.0050411796816306875,82,2.3012490272521973
SGD,87,161,0.006214650956581281,94,0.5138225555419922
Ftrl,122,249,0.0012586392396210194,85,2.3018717765808105
Ftrl,57,234,0.005684313266867674,56,2.301220417022705
AdamW,250,189,0.005276778968499063,114,0.0471506305038929
SGD,233,109,0.0062242160233127565,55,0.3632476031780243
AdamW,174,201,0.006710928589170115,51,0.07459873706102371
Adam,117,171,0.0011045505871457486,77,0.046754155308008194
Adam,71,55,0.0025613016888082177,69,0.057561833411455154
Ftrl,216,42,0.0011698316534523234,116,2.301927089691162
Adagrad,201,95,0.00337141140902803,34,0.2839216887950897
Adadelta,232,110,0.007309308603306838,97,0.8640629053115845
Adagrad,246,76,0.006959902172100179,49,0.23592448234558105
Adagrad,128,178,0.0022175073120517513,116,0.5599367618560791
Ftrl,179,71,0.0013075241709613976,122,2.3018922805786133
Ftrl,193,89,0.0007677001074727917,49,2.3020501136779785
Nadam,159,67,0.00977022097179177,47,0.09067104756832123
Adagrad,55,108,0.007469631947696087,115,0.3313169777393341
Adagrad,93,194,0.0009718212815263886,34,0.5137795805931091
Adamax,33,90,0.005140516515888389,71,0.09527800977230072
Nadam,96,128,0.009205308470125224,38,0.0924997329711914
SGD,255,210,0.005694737381278225,71,0.41270241141319275
Adadelta,68,58,0.00721689644799322,99,1.3839620351791382
SGD,157,134,0.006037530381278825,53,0.3621152937412262
Adamax,140,227,0.0009622321656952087,114,0.12411699444055557
AdamW,235,252,0.002126016807156517,58,0.03593774884939194
Adam,138,234,0.008998814012187804,73,0.08517707884311676
Adadelta,142,48,0.0018558243855226566,112,2.116133451461792
Adamax,233,63,0.005204113579773845,95,0.039866361767053604
Adadelta,235,47,0.005400734220482115,45,0.8045157194137573
AdamW,42,136,0.0017092300754623067,84,0.07628251612186432
SGD,46,95,0.005541246876617363,48,0.37878820300102234
Adam,46,153,0.00035835645267966366,62,0.13998360931873322
RMSprop,93,50,0.0036007395849778708,78,0.054297998547554016
Adadelta,239,181,0.00491339257342727,98,1.154405117034912
Nadam,116,95,0.0021991126217848793,41,0.044486984610557556
Adam,40,252,0.009609831098435098,52,0.11436620354652405
AdamW,156,138,0.004349982893114144,49,0.055209022015333176
SGD,101,218,0.001766418978236552,36,0.6270248293876648
Ftrl,49,233,0.007782164079034598,38,2.3011927604675293
Ftrl,141,190,0.007791944039734097,107,2.301198720932007
