Name,Convoluted_Layers,Convoluted_Filters,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
AdamW,31,3,33,19,0.007444002485210055,102,0.041562270373106
Nadam,23,3,58,25,0.002890642178232563,70,0.026770878583192825
Adamax,31,1,40,18,0.006433485052695317,112,0.2797536551952362
Adafactor,22,2,43,24,0.005794638140675974,114,nan
Nadam,29,1,42,26,0.0068340634319497134,64,0.30194053053855896
Adafactor,22,3,56,27,0.0020570054020002883,112,nan
AdamW,24,2,34,17,0.0021433012839826753,56,0.040318869054317474
Adafactor,20,3,46,29,0.002419492228737347,114,nan
Adagrad,21,3,47,20,0.009332765703518087,125,0.123226597905159
RMSprop,27,1,44,24,0.005577228850521229,47,0.24479243159294128
Adafactor,22,2,56,19,0.006273693824270628,44,nan
Adadelta,16,1,61,30,0.004385608558392082,51,2.1119179725646973
Ftrl,18,3,51,28,0.00437479482321456,55,2.301264524459839
SGD,32,3,51,28,0.002288436069269519,119,0.4341377317905426
RMSprop,18,3,43,22,0.0056458764042140045,78,0.037806395441293716
RMSprop,31,2,62,23,0.004823335602057164,63,0.037653662264347076
Adadelta,16,3,50,28,0.004021931868502825,89,1.8107624053955078
AdamW,16,2,46,17,0.0032841440790309586,101,0.03797847777605057
Nadam,20,1,64,21,0.0036411106716616546,49,0.2159101665019989
Adafactor,22,1,39,31,0.00021666040059123686,127,nan
Adamax,31,1,48,26,0.0014822929990930991,118,0.31018027663230896
Adagrad,29,2,63,21,0.008428582833228433,114,0.17135660350322723
Adadelta,23,1,61,29,0.004182248901526529,123,2.1329362392425537
RMSprop,21,3,35,21,0.006494604452462724,88,0.044665269553661346
Adam,23,1,48,18,0.005104987984996392,61,0.20440350472927094
SGD,28,1,61,27,0.005395054437737371,102,0.5473700165748596
Adadelta,16,3,55,23,0.003950527521635445,114,2.0447311401367188
AdamW,27,1,59,18,0.0037867920076437678,81,0.24185021221637726
RMSprop,23,3,52,32,0.009986949739624515,41,0.13342583179473877
Nadam,19,1,60,32,0.004239112272260586,81,0.31625932455062866
Nadam,30,3,38,32,0.0018183211350484675,50,0.026648133993148804
Adam,20,3,35,26,0.0012782165690666011,38,0.034201595932245255
AdamW,27,2,61,30,0.0029258520481316203,104,0.030260147526860237
Adagrad,18,3,48,29,0.004380106174824085,109,0.17427629232406616
Adamax,21,3,56,25,0.0002439598540561475,53,0.1255904883146286
Adam,20,2,36,27,0.00530768143516348,122,0.04268764331936836
Adafactor,27,2,47,32,0.003898467355835173,38,nan
Ftrl,32,2,61,24,0.0012418066144998649,42,2.3018205165863037
Adam,28,2,50,21,0.007984107571149101,123,0.03608199581503868
